IDNR,LOSS,GENDER,AGE,EXPER,MARSTAT,PRESID,TOWORK,MILES,CLAIMS,CITATS,SIZE,COMPA,COMPB,COMPC
1,0.432,0,59,10,2,0,14,1,1,0,2,1000,1400,1200
2,0.488,1,70,42,2,1,10,6,0,1,2,1000,440,640
3,0.491,1,54,26,2,1,0,6,3,1,1,1000,920,1120
4,1.03,0,35,17,2,1,16,4,1,1,1,1000,1190,990
5,0.853,0,33,12,2,0,6,5,2,1,4,1000,1340,1140
6,0.128,0,72,30,3,1,8,7,0,1,3,1000,800,600
7,0.297,1,63,33,3,0,7,3,1,0,3,1000,710,910
8,0.542,1,60,35,2,1,8,4,0,1,2,1000,650,850
9,0.874,0,42,8,2,1,14,2,0,0,2,1000,1460,1260
10,0.558,1,51,17,2,0,5,20,2,3,2,1000,1190,1390
11,1.553,0,17,1,1,1,5,25,0,1,3,1000,1670,1470
12,1.238,1,29,11,2,1,6,18,2,3,1,1000,1370,1570
13,1.715,1,18,2,1,1,5,3,0,0,4,1000,1640,1840
14,0.632,0,47,31,2,0,5,4,1,1,2,1000,770,570
15,0.613,0,43,21,3,1,7,19,0,3,5,1000,1070,870
16,1.075,1,33,15,2,1,4,3,0,0,1,1000,1250,1450
17,0.903,1,37,18,2,0,5,1,0,0,1,1000,1160,1360
18,1.498,1,25,7,2,0,16,6,2,1,2,1000,1490,1690
19,1.181,0,24,6,2,1,5,3,1,0,3,1000,1520,1320
20,1.053,0,28,9,2,0,5,7,0,1,1,1000,1430,1230
21,0.727,0,43,6,2,1,10,19,1,3,3,1000,1520,1320
22,1.26,1,31,15,1,1,1,12,1,2,3,1000,1250,1450
23,1.219,0,24,8,1,1,5,2,0,0,1,1000,1460,1260
24,0.254,1,69,52,2,0,8,7,1,1,1,1000,140,340
25,1.537,0,20,0,1,1,18,21,0,0,1,1000,1700,1500
26,1.391,0,19,1,1,0,14,9,0,0,1,1000,1670,1470
27,1.012,0,33,7,1,1,5,3,0,0,3,1000,1490,1290
28,1.284,0,22,6,1,0,5,9,0,1,1,1000,1520,1320
29,0.887,1,41,19,2,0,0,3,0,0,1,1000,1130,1330
30,0.87,0,35,16,2,1,9,14,1,2,2,1000,1220,1020
31,0.476,0,50,20,2,0,0,6,0,1,1,1000,1100,900
32,1.667,1,21,4,1,0,12,15,2,2,1,1000,1580,1780
33,1.493,0,22,4,1,0,12,20,1,3,1,1000,1580,1380
34,0.465,1,55,24,2,0,5,8,0,1,1,1000,980,1180
35,0.825,0,34,5,2,0,3,9,3,1,3,1000,1550,1350
36,0.322,0,56,40,3,1,5,5,0,1,1,1000,500,300
37,0.461,0,50,27,2,0,0,6,0,1,1,1000,890,690
38,1.506,0,18,2,1,1,10,3,0,0,1,1000,1640,1440
39,0.805,0,49,20,3,1,12,5,1,1,1,1000,1100,900
40,0.51,1,60,43,2,1,5,2,0,0,1,1000,410,610
41,1.443,1,19,0,1,1,5,13,0,0,4,1000,1700,1900
42,0.97,0,34,12,1,1,0,3,0,0,4,1000,1340,1140
43,0.786,1,47,19,2,0,3,14,1,2,1,1000,1130,1330
44,0.79,0,50,26,2,1,30,5,1,1,3,1000,920,720
45,0.202,0,68,52,2,0,5,17,0,3,2,1000,140,-60
46,1.653,1,24,8,2,0,26,19,0,3,3,1000,1460,1660
47,1.052,1,33,13,1,1,0,10,4,2,3,1000,1310,1510
48,0.914,1,45,29,2,0,24,3,1,0,2,1000,830,1030
49,0.607,1,51,11,2,1,12,4,1,1,3,1000,1370,1570
50,1.195,1,29,6,1,1,10,10,2,2,2,1000,1520,1720
51,1.49,1,28,6,1,1,14,4,2,1,3,1000,1520,1720
52,0.581,0,48,24,2,1,16,22,1,4,3,1000,980,780
53,1.307,1,24,6,1,1,5,4,0,1,4,1000,1520,1720
54,0.55,1,51,33,2,0,4,4,0,1,2,1000,710,910
55,0.99,0,36,9,2,1,20,5,0,1,3,1000,1430,1230
56,0.761,1,69,11,2,1,34,14,0,2,3,1000,1370,1570
57,1.421,1,25,9,1,1,13,3,1,0,4,1000,1430,1630
58,1.559,1,26,7,1,1,13,24,1,4,1,1000,1490,1690
59,0.685,0,40,4,2,1,5,5,3,1,1,1000,1580,1380
60,0.439,0,57,19,2,1,16,12,0,2,2,1000,1130,930
61,1.298,0,22,6,2,0,2,6,0,1,2,1000,1520,1320
62,0.503,0,49,17,2,1,11,5,1,1,2,1000,1190,990
63,0.82,0,48,28,2,1,16,1,0,0,1,1000,860,660
64,1.193,1,36,16,2,1,16,5,0,1,4,1000,1220,1420
65,0.81,1,40,24,2,0,7,6,0,1,3,1000,980,1180
66,1.442,1,23,6,1,1,6,16,1,3,1,1000,1520,1720
67,0.554,1,61,45,2,0,32,4,0,1,1,1000,350,550
68,1.316,0,24,4,1,1,5,6,0,1,3,1000,1580,1380
69,0.555,1,59,41,2,1,2,2,1,0,5,1000,470,670
70,0.708,0,37,19,1,0,5,6,1,1,1,1000,1130,930
71,0.8,0,42,22,2,1,6,5,1,1,4,1000,1040,840
72,1.446,0,23,4,1,1,5,6,0,1,1,1000,1580,1380
73,0.428,1,58,41,2,1,5,6,1,1,3,1000,470,670
74,1.24,1,32,15,2,1,13,12,0,2,1,1000,1250,1450
75,1.419,1,28,6,2,1,5,9,0,1,1,1000,1520,1720
76,0.498,0,64,40,1,0,18,1,0,0,1,1000,500,300
77,1.332,0,19,1,2,1,5,6,1,0,4,1000,1670,1470
78,0.737,1,41,23,1,1,0,17,0,3,3,1000,1010,1210
79,0.493,1,58,29,1,1,0,18,3,3,2,1000,830,1030
80,0.762,0,35,18,1,0,5,21,2,3,4,1000,1160,960
81,0.274,1,67,51,2,1,0,3,1,0,2,1000,170,370
82,1.251,0,26,5,3,1,13,4,1,1,2,1000,1550,1350
83,1.036,1,33,11,1,1,0,3,1,0,2,1000,1370,1570
84,0.494,0,45,18,2,1,0,14,0,2,2,1000,1160,960
85,0.405,1,77,34,3,0,17,19,0,3,3,1000,680,880
86,0.536,0,57,34,2,1,5,2,1,0,2,1000,680,480
87,0.341,0,68,31,2,1,6,23,1,4,5,1000,770,570
88,0.787,0,46,27,2,1,10,14,0,2,1,1000,890,690
89,0.991,1,38,21,2,1,18,10,1,2,5,1000,1070,1270
90,1.088,0,33,4,2,0,27,13,0,2,4,1000,1580,1380
91,1.149,1,33,16,2,1,5,22,2,4,3,1000,1220,1420
92,0.304,0,79,11,3,1,11,3,0,0,4,1000,1370,1170
93,0.644,0,45,22,2,0,4,3,2,0,4,1000,1040,840
94,1.306,1,28,8,1,0,5,2,0,0,2,1000,1460,1660
